episode_id,timestamp_ns,error,q0,q1,q2,q3,q4,q5,q6,q_path,q_etag,q_size,q_sha256,q_row_count,error_path,error_etag,error_size,error_sha256,error_row_count
000000000000,161315531767930,0,-0.016129791736602783,-0.2998020350933075,-0.06703152507543564,-1.6300181150436401,-0.03217258304357529,1.6065198183059692,-0.0349637046456337,phail/v1.0/dataset/rollouts/000000000000/000000000000/robot_state.q.parquet,1ca0205e37c74839d06e412b739d46e1,2785247,ed47ae188eb8574c7ff298cc199f218af38bbfe2a44239726a4f4c0ed4159e8c,55705,phail/v1.0/dataset/rollouts/000000000000/000000000000/robot_state.error.parquet,ad8ec02d6f06381c1574f9dc2196546d,445229,a54681ebb2964608241270a16c382471e29d979c67ab61d38057ed13089d515e,55705
000000000001,162607236754754,0,-0.00811534933745861,-0.3534824848175049,-0.02055598795413971,-1.5890417098999023,-0.00111883576028049,1.5443840026855469,0.059893395751714706,phail/v1.0/dataset/rollouts/000000000000/000000000001/robot_state.q.parquet,484415becc65cf5cdae144d51e172c07,360841,04ea909bde84215bd8258fe029b19322081859b46c3a79f929a002876484f47a,11478,phail/v1.0/dataset/rollouts/000000000000/000000000001/robot_state.error.parquet,9b144274ca73e0a502fef64c08e318c9,92208,3f2fcbd80a34b1c02274d354667f6e00f17f046a23a32506657a9b1bcb42e414,11478
000000000002,163034427219944,0,-0.010169477201998234,-0.3241465389728546,-0.04270274192094803,-1.715523600578308,-0.016829706728458405,1.4510574340820312,0.005535002797842026,phail/v1.0/dataset/rollouts/000000000000/000000000002/robot_state.q.parquet,fb13fbf2466148da4e1f1c776db6da1f,3323242,071e140c32233af74a43e5ff0b90320ada07bf69d46d041244a0e8ae15a7b514,70503,phail/v1.0/dataset/rollouts/000000000000/000000000002/robot_state.error.parquet,3b87dcfa841e4655d07cb7e4352b8724,562764,631d2e1deb10401940e2e818cb2b673a1e650cd40ad0bcd7d410e836df0146c6,70503
000000000003,163297662473775,0,-4.1481216612737626e-05,-0.330059289932251,-0.07762680947780609,-1.685808777809143,-0.07763128727674484,1.6198439598083496,0.024804553017020226,phail/v1.0/dataset/rollouts/000000000000/000000000003/robot_state.q.parquet,1a4214d3cfd1ae19ad6335d58dd20fc3,3628344,93b1baf7461ea72e1e5e10160a1af011c8cf26c15f56ed9f0c43ff778fc2f102,72361,phail/v1.0/dataset/rollouts/000000000000/000000000003/robot_state.error.parquet,75030f1dcce1a3a4de47d1757c615fc3,578401,057b4bf5febfd1e0746dc50ff684ca28245ccdefd7bb3a39be8b534a9c1bcd4d,72361
000000000004,163743711006719,0,0.02712179906666279,-0.2733594477176666,0.0317145399749279,-1.6566342115402222,-0.08512873947620392,1.439788579940796,-0.005624177400022745,phail/v1.0/dataset/rollouts/000000000000/000000000004/robot_state.q.parquet,42679d6f2f095abf87b0d9f63e0e9439,3891911,eef85473950cdb67d8fd5c52f529e575c8c98713e12baeda1ad439ed3118f6f2,85038,phail/v1.0/dataset/rollouts/000000000000/000000000004/robot_state.error.parquet,90d18261b61fcfb01530bfbd09aade21,677099,907af4736085880b97b0a939ffccf964d29a33d73531d613412b1aec814b6980,85038
000000000005,164003693610232,0,0.0032425017561763525,-0.2947206199169159,-0.062084704637527466,-1.5980747938156128,0.09807756543159485,1.529569149017334,0.00936067383736372,phail/v1.0/dataset/rollouts/000000000000/000000000005/robot_state.q.parquet,ec8518fca1f0d4efe398055dd8e1b12a,2967983,aac59ddbd9be026d16674322fdb6cf2b58c8fb7c097eef009dce2fe5d579c2a3,62226,phail/v1.0/dataset/rollouts/000000000000/000000000005/robot_state.error.parquet,cd925a4486cc099070c299392259a18a,499474,233bc2e9a94f3ef3938cb7a24d8d18c84f69947592e396799331e8ccee0c9a86,62226
000000000006,164481265777467,0,0.024183589965105057,-0.26572689414024353,0.06662413477897644,-1.6923165321350098,-0.07010263949632645,1.5819529294967651,0.07546579837799072,phail/v1.0/dataset/rollouts/000000000000/000000000006/robot_state.q.parquet,909c8ec065f6ecece6d19aec75438afe,167011,0bc80211d07f9ce2b5ac602ccc919cf6ea8686ca52bab5d6973b87c0574f9520,4612,phail/v1.0/dataset/rollouts/000000000000/000000000006/robot_state.error.parquet,fb5af2ee613e6ebea48d4f62580f5431,36905,a7a098f398d1be9b55b89568870712927600bca230975f711b8b97665d95ca2d,4612
000000000007,164528395484749,0,-0.02242211066186428,-0.3585948646068573,0.04192492738366127,-1.6318857669830322,-0.002973947674036026,1.5040409564971924,0.0358089804649353,phail/v1.0/dataset/rollouts/000000000000/000000000007/robot_state.q.parquet,bb55296aeea0d7b91a182cf21f2c0c27,2327740,129c344cbbaafa25fa7d1986f91c7fb940516270aeee07bd3e55ce4e1982abaa,62935,phail/v1.0/dataset/rollouts/000000000000/000000000007/robot_state.error.parquet,f3478fef6e8fac4266444fc0a5f4a5f3,504933,d9cdf0e3646685d782c6841672fcf233e3d3e7130652e2964e0dfc673e57bc77,62935
000000000008,164852139424884,0,-0.015008702874183655,-0.3037446141242981,0.05303521454334259,-1.685864806175232,0.02566138654947281,1.5790554285049438,-0.0037052659317851067,phail/v1.0/dataset/rollouts/000000000000/000000000008/robot_state.q.parquet,cb0018c67c5215a7252a0bd267f86bb2,3703673,bb85c8cfea22154e4f2f857e20f90e2a76c7b0e93d3c2df6428e9feb07b597ac,73838,phail/v1.0/dataset/rollouts/000000000000/000000000008/robot_state.error.parquet,5e6c6cbbd90dcbd13f67be8d7e6b0d03,589434,4403de1fdada2010cb2c82b2b2d82eb93ce7499f8c8c2821a4b4b61567a293a8,73838
000000000009,165132404600279,0,-0.026094116270542145,-0.27059876918792725,-0.033386990427970886,-1.581791639328003,-0.09789769351482391,1.4232608079910278,0.01881413161754608,phail/v1.0/dataset/rollouts/000000000000/000000000009/robot_state.q.parquet,795cc6545501704801e32b2466d05784,3613360,1484cbb9c8c6cd674804be8d42289cf510c2286a54a024a34735203c4313fb8c,74829,phail/v1.0/dataset/rollouts/000000000000/000000000009/robot_state.error.parquet,8e351538d3903e692970333a0f347dae,597490,540ba33905b9c4ec625aa22f480ff6273a3cd791f0e5b2ab9a7bb68373be53d9,74829
000000000010,165391033054258,0,0.019288064911961555,-0.29029762744903564,0.029177049174904823,-1.5903671979904175,-0.09981168061494827,1.4772429466247559,0.03962080553174019,phail/v1.0/dataset/rollouts/000000000000/000000000010/robot_state.q.parquet,1653a2087cc79293c36d147c71d32259,3971663,827293b26260b118020a8b76d788558851ed9518f95dd064a0340cc7d3fa691c,80324,phail/v1.0/dataset/rollouts/000000000000/000000000010/robot_state.error.parquet,6c2effd56ba67bc671f105fda44696c7,640911,89bc23dd77295178ca552a3cbc1c070802ebd114f8684f3eddb8472906455ae8,80324
