episode_id,signal,path,etag,advertised_size,byte_count,sha256,row_count,schema_sha256
000000000000,robot_state.error,phail/v1.0/dataset/rollouts/000000000000/000000000000/robot_state.error.parquet,ad8ec02d6f06381c1574f9dc2196546d,445229,445229,a54681ebb2964608241270a16c382471e29d979c67ab61d38057ed13089d515e,55705,d853e68515397e9949f0cd49d1291a712ed3bafaa71afb20873e5354f92d3743
000000000000,robot_state.q,phail/v1.0/dataset/rollouts/000000000000/000000000000/robot_state.q.parquet,1ca0205e37c74839d06e412b739d46e1,2785247,2785247,ed47ae188eb8574c7ff298cc199f218af38bbfe2a44239726a4f4c0ed4159e8c,55705,9e13c431dee7465558b1feeef41eef2ad7319759af69cafa198766c393e70521
000000000001,robot_state.error,phail/v1.0/dataset/rollouts/000000000000/000000000001/robot_state.error.parquet,9b144274ca73e0a502fef64c08e318c9,92208,92208,3f2fcbd80a34b1c02274d354667f6e00f17f046a23a32506657a9b1bcb42e414,11478,d853e68515397e9949f0cd49d1291a712ed3bafaa71afb20873e5354f92d3743
000000000001,robot_state.q,phail/v1.0/dataset/rollouts/000000000000/000000000001/robot_state.q.parquet,484415becc65cf5cdae144d51e172c07,360841,360841,04ea909bde84215bd8258fe029b19322081859b46c3a79f929a002876484f47a,11478,9e13c431dee7465558b1feeef41eef2ad7319759af69cafa198766c393e70521
000000000002,robot_state.error,phail/v1.0/dataset/rollouts/000000000000/000000000002/robot_state.error.parquet,3b87dcfa841e4655d07cb7e4352b8724,562764,562764,631d2e1deb10401940e2e818cb2b673a1e650cd40ad0bcd7d410e836df0146c6,70503,d853e68515397e9949f0cd49d1291a712ed3bafaa71afb20873e5354f92d3743
000000000002,robot_state.q,phail/v1.0/dataset/rollouts/000000000000/000000000002/robot_state.q.parquet,fb13fbf2466148da4e1f1c776db6da1f,3323242,3323242,071e140c32233af74a43e5ff0b90320ada07bf69d46d041244a0e8ae15a7b514,70503,9e13c431dee7465558b1feeef41eef2ad7319759af69cafa198766c393e70521
000000000003,robot_state.error,phail/v1.0/dataset/rollouts/000000000000/000000000003/robot_state.error.parquet,75030f1dcce1a3a4de47d1757c615fc3,578401,578401,057b4bf5febfd1e0746dc50ff684ca28245ccdefd7bb3a39be8b534a9c1bcd4d,72361,d853e68515397e9949f0cd49d1291a712ed3bafaa71afb20873e5354f92d3743
000000000003,robot_state.q,phail/v1.0/dataset/rollouts/000000000000/000000000003/robot_state.q.parquet,1a4214d3cfd1ae19ad6335d58dd20fc3,3628344,3628344,93b1baf7461ea72e1e5e10160a1af011c8cf26c15f56ed9f0c43ff778fc2f102,72361,9e13c431dee7465558b1feeef41eef2ad7319759af69cafa198766c393e70521
000000000004,robot_state.error,phail/v1.0/dataset/rollouts/000000000000/000000000004/robot_state.error.parquet,90d18261b61fcfb01530bfbd09aade21,677099,677099,907af4736085880b97b0a939ffccf964d29a33d73531d613412b1aec814b6980,85038,d853e68515397e9949f0cd49d1291a712ed3bafaa71afb20873e5354f92d3743
000000000004,robot_state.q,phail/v1.0/dataset/rollouts/000000000000/000000000004/robot_state.q.parquet,42679d6f2f095abf87b0d9f63e0e9439,3891911,3891911,eef85473950cdb67d8fd5c52f529e575c8c98713e12baeda1ad439ed3118f6f2,85038,9e13c431dee7465558b1feeef41eef2ad7319759af69cafa198766c393e70521
