episode_id,key_path,category,node_type
000000000000,static.joint_names,home_field_candidate,array
000000000000,static.joint_signal,home_field_candidate,string
000000000000,static.pose_signals,home_field_candidate,array
000000000001,static.joint_names,home_field_candidate,array
000000000001,static.joint_signal,home_field_candidate,string
000000000001,static.pose_signals,home_field_candidate,array
000000000002,static.joint_names,home_field_candidate,array
000000000002,static.joint_signal,home_field_candidate,string
000000000002,static.pose_signals,home_field_candidate,array
000000000003,static.joint_names,home_field_candidate,array
000000000003,static.joint_signal,home_field_candidate,string
000000000003,static.pose_signals,home_field_candidate,array
000000000004,static.joint_names,home_field_candidate,array
000000000004,static.joint_signal,home_field_candidate,string
000000000004,static.pose_signals,home_field_candidate,array
000000000005,static.joint_names,home_field_candidate,array
000000000005,static.joint_signal,home_field_candidate,string
000000000005,static.pose_signals,home_field_candidate,array
000000000006,static.joint_names,home_field_candidate,array
000000000006,static.joint_signal,home_field_candidate,string
000000000006,static.pose_signals,home_field_candidate,array
000000000007,static.joint_names,home_field_candidate,array
000000000007,static.joint_signal,home_field_candidate,string
000000000007,static.pose_signals,home_field_candidate,array
000000000008,static.joint_names,home_field_candidate,array
000000000008,static.joint_signal,home_field_candidate,string
000000000008,static.pose_signals,home_field_candidate,array
000000000009,static.joint_names,home_field_candidate,array
000000000009,static.joint_signal,home_field_candidate,string
000000000009,static.pose_signals,home_field_candidate,array
000000000010,static.joint_names,home_field_candidate,array
000000000010,static.joint_signal,home_field_candidate,string
000000000010,static.pose_signals,home_field_candidate,array
000000000011,static.joint_names,home_field_candidate,array
000000000011,static.joint_signal,home_field_candidate,string
000000000011,static.pose_signals,home_field_candidate,array
000000000012,static.joint_names,home_field_candidate,array
000000000012,static.joint_signal,home_field_candidate,string
000000000012,static.pose_signals,home_field_candidate,array
000000000013,static.joint_names,home_field_candidate,array
000000000013,static.joint_signal,home_field_candidate,string
000000000013,static.pose_signals,home_field_candidate,array
000000000014,static.joint_names,home_field_candidate,array
000000000014,static.joint_signal,home_field_candidate,string
000000000014,static.pose_signals,home_field_candidate,array
000000000015,static.joint_names,home_field_candidate,array
000000000015,static.joint_signal,home_field_candidate,string
000000000015,static.pose_signals,home_field_candidate,array
000000000016,static.joint_names,home_field_candidate,array
000000000016,static.joint_signal,home_field_candidate,string
000000000016,static.pose_signals,home_field_candidate,array
000000000017,static.joint_names,home_field_candidate,array
000000000017,static.joint_signal,home_field_candidate,string
000000000017,static.pose_signals,home_field_candidate,array
000000000018,static.joint_names,home_field_candidate,array
000000000018,static.joint_signal,home_field_candidate,string
000000000018,static.pose_signals,home_field_candidate,array
000000000019,static.joint_names,home_field_candidate,array
000000000019,static.joint_signal,home_field_candidate,string
000000000019,static.pose_signals,home_field_candidate,array
000000000020,static.joint_names,home_field_candidate,array
000000000020,static.joint_signal,home_field_candidate,string
000000000020,static.pose_signals,home_field_candidate,array
000000000021,static.joint_names,home_field_candidate,array
000000000021,static.joint_signal,home_field_candidate,string
000000000021,static.pose_signals,home_field_candidate,array
000000000022,static.joint_names,home_field_candidate,array
000000000022,static.joint_signal,home_field_candidate,string
000000000022,static.pose_signals,home_field_candidate,array
000000000023,static.joint_names,home_field_candidate,array
000000000023,static.joint_signal,home_field_candidate,string
000000000023,static.pose_signals,home_field_candidate,array
000000000024,static.joint_names,home_field_candidate,array
000000000024,static.joint_signal,home_field_candidate,string
000000000024,static.pose_signals,home_field_candidate,array
000000000025,static.joint_names,home_field_candidate,array
000000000025,static.joint_signal,home_field_candidate,string
000000000025,static.pose_signals,home_field_candidate,array
000000000026,static.joint_names,home_field_candidate,array
000000000026,static.joint_signal,home_field_candidate,string
000000000026,static.pose_signals,home_field_candidate,array
000000000027,static.joint_names,home_field_candidate,array
000000000027,static.joint_signal,home_field_candidate,string
000000000027,static.pose_signals,home_field_candidate,array
000000000028,static.joint_names,home_field_candidate,array
000000000028,static.joint_signal,home_field_candidate,string
000000000028,static.pose_signals,home_field_candidate,array
000000000029,static.joint_names,home_field_candidate,array
000000000029,static.joint_signal,home_field_candidate,string
000000000029,static.pose_signals,home_field_candidate,array
000000000030,static.joint_names,home_field_candidate,array
000000000030,static.joint_signal,home_field_candidate,string
000000000030,static.pose_signals,home_field_candidate,array
000000000031,static.joint_names,home_field_candidate,array
000000000031,static.joint_signal,home_field_candidate,string
000000000031,static.pose_signals,home_field_candidate,array
000000000032,static.joint_names,home_field_candidate,array
000000000032,static.joint_signal,home_field_candidate,string
000000000032,static.pose_signals,home_field_candidate,array
000000000033,static.joint_names,home_field_candidate,array
000000000033,static.joint_signal,home_field_candidate,string
000000000033,static.pose_signals,home_field_candidate,array
000000000034,static.joint_names,home_field_candidate,array
000000000034,static.joint_signal,home_field_candidate,string
000000000034,static.pose_signals,home_field_candidate,array
000000000035,static.joint_names,home_field_candidate,array
000000000035,static.joint_signal,home_field_candidate,string
000000000035,static.pose_signals,home_field_candidate,array
000000000036,static.joint_names,home_field_candidate,array
000000000036,static.joint_signal,home_field_candidate,string
000000000036,static.pose_signals,home_field_candidate,array
000000000037,static.joint_names,home_field_candidate,array
000000000037,static.joint_signal,home_field_candidate,string
000000000037,static.pose_signals,home_field_candidate,array
000000000038,static.joint_names,home_field_candidate,array
000000000038,static.joint_signal,home_field_candidate,string
000000000038,static.pose_signals,home_field_candidate,array
